row_id,primary_class,owned_classes,top_next_classes
0,fighter,['fighter'],"['barbarian', 'wizard', 'monk', 'rogue', 'cleric']"
1,fighter,['fighter'],"['monk', 'wizard', 'barbarian', 'rogue', 'cleric']"
2,fighter,['fighter'],"['monk', 'wizard', 'barbarian', 'rogue', 'cleric']"
3,fighter,['fighter'],"['wizard', 'barbarian', 'monk', 'rogue', 'cleric']"
4,rogue,['rogue'],"['fighter', 'barbarian', 'ranger', 'wizard', 'monk']"
5,fighter,['fighter'],"['wizard', 'monk', 'barbarian', 'rogue', 'cleric']"
6,fighter,['fighter'],"['wizard', 'monk', 'barbarian', 'rogue', 'cleric']"
7,fighter,['fighter'],"['monk', 'wizard', 'barbarian', 'rogue', 'cleric']"
8,fighter,"['fighter', 'monk']","['wizard', 'barbarian', 'warlock', 'ranger', 'rogue']"
9,fighter,['fighter'],"['monk', 'wizard', 'barbarian', 'rogue', 'cleric']"
10,druid,"['barbarian', 'druid']","['fighter', 'rogue', 'paladin', 'monk', 'wizard']"
11,cleric,['cleric'],"['fighter', 'sorcerer', 'monk', 'rogue', 'wizard']"
12,cleric,['cleric'],"['fighter', 'sorcerer', 'monk', 'rogue', 'wizard']"
13,monk,"['monk', 'ranger']","['fighter', 'rogue', 'warlock', 'wizard', 'barbarian']"
14,fighter,['fighter'],"['monk', 'wizard', 'barbarian', 'rogue', 'cleric']"
15,fighter,['fighter'],"['monk', 'wizard', 'barbarian', 'rogue', 'cleric']"
16,paladin,"['barbarian', 'paladin']","['fighter', 'rogue', 'druid', 'monk', 'wizard']"
17,warlock,"['monk', 'warlock']","['fighter', 'ranger', 'barbarian', 'wizard', 'rogue']"
18,paladin,['paladin'],"['fighter', 'barbarian', 'rogue', 'monk', 'cleric']"
19,fighter,['fighter'],"['wizard', 'barbarian', 'monk', 'rogue', 'cleric']"
20,barbarian,['barbarian'],"['fighter', 'rogue', 'paladin', 'druid', 'wizard']"
21,paladin,['paladin'],"['fighter', 'barbarian', 'rogue', 'monk', 'cleric']"
22,fighter,['fighter'],"['wizard', 'barbarian', 'monk', 'rogue', 'cleric']"
23,barbarian,['barbarian'],"['fighter', 'rogue', 'paladin', 'druid', 'wizard']"
