row_id,candidate_class,score_pre_sort,eligibility,eligibility_reason,primary_class,owned_classes,from_cooc,from_narrative,from_pop
0,wizard,0.6831692101012873,eligible,ok,fighter,fighter,0.55,0.09632710483812938,0.03684210526315789
0,barbarian,0.8038734204977535,eligible,ok,fighter,fighter,0.55,0.22229447312933243,0.031578947368421054
0,sorcerer,0.11942462555562675,eligible,ok,fighter,fighter,0.0,0.10363515187141623,0.015789473684210527
0,warlock,0.12068679581763801,eligible,ok,fighter,fighter,0.0,0.09963416423869065,0.021052631578947368
0,paladin,0.05758510181712958,eligible,ok,fighter,fighter,0.0,0.03126931234344537,0.02631578947368421
1,wizard,0.6175073479696221,eligible,ok,fighter,fighter,0.55,0.030665242706464216,0.03684210526315789
1,barbarian,0.7173161787598147,eligible,ok,fighter,fighter,0.55,0.13573723139139363,0.031578947368421054
1,paladin,0.13397998352444057,eligible,ok,fighter,fighter,0.0,0.10766419405075635,0.02631578947368421
1,warlock,0.09424735925349473,eligible,ok,fighter,fighter,0.0,0.07319472767454736,0.021052631578947368
1,druid,0.08349866984383782,eligible,ok,fighter,fighter,0.0,0.06244603826489045,0.021052631578947368
2,monk,-1000.0,ineligible,WIS>=13 (have 11),fighter,fighter,0.55,0.06770715884540808,0.03684210526315789
2,wizard,0.6175073479696221,eligible,ok,fighter,fighter,0.55,0.030665242706464216,0.03684210526315789
2,barbarian,0.7173161787598147,eligible,ok,fighter,fighter,0.55,0.13573723139139363,0.031578947368421054
2,rogue,0.0682386446250715,eligible,ok,fighter,fighter,0.0,0.031396539361913604,0.03684210526315789
2,artificer,0.010526315789473684,eligible,ok,fighter,fighter,0.0,0.0,0.010526315789473684
3,monk,-1000.0,ineligible,WIS>=13 (have 12),fighter,fighter,0.55,0.05342146019810053,0.03684210526315789
3,wizard,-1000.0,ineligible,INT>=13 (have 12),fighter,fighter,0.55,0.08686988272752394,0.03684210526315789
3,barbarian,0.7600347975881747,eligible,ok,fighter,fighter,0.55,0.17845585021975363,0.031578947368421054
3,sorcerer,-1000.0,ineligible,CHA>=13 (have 9),fighter,fighter,0.0,0.09626752887952274,0.015789473684210527
3,rogue,0.14245647184631302,eligible,ok,fighter,fighter,0.0,0.10561436658315514,0.03684210526315789
4,barbarian,0.7486807898836585,eligible,ok,rogue,rogue,0.55,0.16710184251523744,0.031578947368421054
4,fighter,0.6847295486988989,eligible,"need STR>=13 or DEX>=13; have STR=17, DEX=10",rogue,rogue,0.0,0.5847295486988989,0.1
4,sorcerer,0.09239727458251276,eligible,ok,rogue,rogue,0.0,0.07660780089830223,0.015789473684210527
4,wizard,0.11131974535624597,eligible,ok,rogue,rogue,0.0,0.07447764009308808,0.03684210526315789
4,warlock,0.087461706299547,eligible,ok,rogue,rogue,0.0,0.06640907472059963,0.021052631578947368
5,monk,-1000.0,ineligible,WIS>=13 (have 9),fighter,fighter,0.55,0.03059143179988344,0.03684210526315789
5,wizard,-1000.0,ineligible,INT>=13 (have 11),fighter,fighter,0.55,0.04935954560855425,0.03684210526315789
5,barbarian,0.6776229227437306,eligible,ok,fighter,fighter,0.55,0.09604397537530951,0.031578947368421054
5,rogue,0.1329826537876965,eligible,ok,fighter,fighter,0.0,0.0961405485245386,0.03684210526315789
5,sorcerer,-1000.0,ineligible,CHA>=13 (have 8),fighter,fighter,0.0,0.05696114109399477,0.015789473684210527
6,monk,0.6255718676930596,eligible,ok,fighter,fighter,0.55,0.038729762429901726,0.03684210526315789
6,wizard,0.6492358973001392,eligible,ok,fighter,fighter,0.55,0.06239379203698126,0.03684210526315789
6,barbarian,0.7225183841399021,eligible,ok,fighter,fighter,0.55,0.140939436771481,0.031578947368421054
6,rogue,0.1146400915214168,eligible,ok,fighter,fighter,0.0,0.07779798625825891,0.03684210526315789
6,cleric,0.12528667600401694,eligible,ok,fighter,fighter,0.0,0.09370772863559589,0.031578947368421054
7,monk,-1000.0,ineligible,WIS>=13 (have 10),fighter,fighter,0.55,0.09340888697776813,0.03684210526315789
7,wizard,-1000.0,ineligible,INT>=13 (have 10),fighter,fighter,0.55,0.028042905577232043,0.03684210526315789
7,barbarian,0.7193803742857999,eligible,ok,fighter,fighter,0.55,0.13780142691737882,0.031578947368421054
7,warlock,-1000.0,ineligible,CHA>=13 (have 12),fighter,fighter,0.0,0.09837526795551735,0.021052631578947368
7,rogue,0.09061735666707071,eligible,ok,fighter,fighter,0.0,0.05377525140391282,0.03684210526315789
8,barbarian,0.7068308488977891,eligible,ok,fighter,fighter|monk,0.55,0.12525190152936808,0.031578947368421054
8,ranger,0.5763157894736842,eligible,ok,fighter,fighter|monk,0.55,0.0,0.02631578947368421
8,cleric,0.11748069680731889,eligible,ok,fighter,fighter|monk,0.0,0.08590174943889783,0.031578947368421054
8,druid,0.17228724423241065,eligible,ok,fighter,fighter|monk,0.0,0.15123461265346327,0.021052631578947368
8,rogue,0.14503246302630618,eligible,ok,fighter,fighter|monk,0.0,0.1081903577631483,0.03684210526315789
9,wizard,0.6465014483995146,eligible,ok,fighter,fighter,0.55,0.059659343136356666,0.03684210526315789
9,sorcerer,0.08162345081093805,eligible,ok,fighter,fighter,0.0,0.06583397712672752,0.015789473684210527
